"Year","Month","Sales","YearMonth"
2010,1,7690,"2010-01"
2010,2,7966,"2010-02"
2010,3,8225,"2010-03"
2010,4,9657,"2010-04"
2010,5,9781,"2010-05"
2010,6,14245,"2010-06"
2010,7,18215,"2010-07"
2010,8,15181,"2010-08"
2010,9,10062,"2010-09"
2010,10,9497,"2010-10"
2010,11,8631,"2010-11"
2010,12,13096,"2010-12"
2011,1,9659,"2011-01"
2011,2,12289,"2011-02"
2011,3,19255,"2011-03"
2011,4,22100,"2011-04"
2011,5,20006,"2011-05"
2011,6,19992,"2011-06"
2011,7,15181,"2011-07"
2011,8,15054,"2011-08"
2011,9,14386,"2011-09"
2011,10,13000,"2011-10"
2011,11,12414,"2011-11"
2011,12,13025,"2011-12"
2012,1,10900,"2012-01"
2012,2,13820,"2012-02"
2012,3,19681,"2012-03"
2012,4,16836,"2012-04"
2012,5,18877,"2012-05"
2012,6,17655,"2012-06"
2012,7,18512,"2012-07"
2012,8,17989,"2012-08"
2012,9,18305,"2012-09"
2012,10,14512,"2012-10"
2012,11,15923,"2012-11"
2012,12,19024,"2012-12"
